calibre_id,title,authors,publisher,year,subjects,topic_tags,rating,formats,description
65,The Quickening Maze,Adam Foulds,Penguin,2009,Fiction; Historical Fiction; Historical; History; General; England; Mental Health; Rennette; London (England); Tennyson; Alfred Tennyson; Mentally Ill; London (England) - Social Conditions - 19th Century; Clare; John - Mental Health; Psychiatric Hospitals; Psychiatric Hospitals - England - London - History - 19th Century; Mentally Ill - Commitment and Detention - England - London - History - 19th Century; London; Commitment and Detention; Poets; English - 19th Century - Mental Health; Poets; English; 19th Century,psychology; fiction_general; history,,epub; lit,"A visionary novel by ""one of the most talented writers of his generation"" (The Times Literary Supplement)-shortlisted for the Man Booker Prize Based on real events, The Quickening Maze won over UK critics and readers alike with its rapturous prose and vivid exploration of poetry and madness. Historically accurate yet brilliantly imagined, this is the debut publication of this elegant and riveting …"
3286,Union Atlantic,Adam Haslett,"Random House, Inc.",2010,Fiction; General; Fiction - General; Literary; Technology & Engineering; Social Science; Massachusetts; High School Students; Social Classes; Rennette; Older women; Bankers; Construction; House construction,fiction_general; science_general,,epub; mobi,"SUMMARY: The eagerly anticipated debut novel from the author of the Pulitzer Prize finalist You Are Not a Stranger Here: a deeply affecting portrait of the modern gilded age, the first decade of the twenty-first century. At the heart of Union Atlantic lies a test of wills between a young banker, Doug Fanning, and a retired schoolteacher, Charlotte Graves, whose two dogs have begun to speak to her.…"
66,Union Atlantic,Adam Haslett,"Random House, Inc.",2010,Fiction; General; Fiction - General; Literary; Technology & Engineering; Social Science; Massachusetts; High School Students; Social Classes; Rennette; Older women; Bankers; Construction; House construction,fiction_general; science_general,,epub; lit,"SUMMARY: The eagerly anticipated debut novel from the author of the Pulitzer Prize finalist You Are Not a Stranger Here: a deeply affecting portrait of the modern gilded age, the first decade of the twenty-first century. At the heart of Union Atlantic lies a test of wills between a young banker, Doug Fanning, and a retired schoolteacher, Charlotte Graves, whose two dogs have begun to speak to her.…"
3285,You Are Not A Stranger Here,Adam Haslett,,2011,Rennette,,,epub; mobi,
67,You Are Not A Stranger Here,Adam Haslett,,2011,Rennette,,,epub; lit,
3290,The Instructions,Adam Levin,,2011,Rennette,,,epub; mobi,
68,The Instructions,Adam Levin,,2011,Rennette,,,epub; lit,
3282,Go the F*ck to Sleep,Adam Mansbach,,2011,Rennette,,,epub; mobi,
70,Go the F*ck to Sleep,Adam Mansbach,,2011,Rennette,,,epub; lit,
3288,Go the Fuck to Sleep,Adam Mansbach,Akashic Books,2010,,,,epub; mobi; pdf,
69,Go the Fuck to Sleep,Adam Mansbach,Akashic Books,2010,,,,epub; lit; pdf,
3281,Ladies and Gentlemen,Adam Ross,Knopf,2011,Fantasy; Fiction; Short Stories; Short Stories (Single Author); American; Rennette,fiction_fantasy; fiction_general,,epub; mobi,"After his widely celebrated debut, Mr. Peanut, Adam Ross now presents a darkly compelling collection of stories about brothers, loners, lovers, and lives full of good intentions, misunderstandings, and obscured motives. A hotshot lawyer, burdened by years of guilt and resentment, comes to the rescue of his irresponsible, irresistible younger brother. An unsettling story resonates between the dysfu…"
71,Ladies and Gentlemen,Adam Ross,Knopf,2011,Fantasy; Fiction; Short Stories; Short Stories (Single Author); American; Rennette,fiction_fantasy; fiction_general,,epub; lit,"After his widely celebrated debut, Mr. Peanut, Adam Ross now presents a darkly compelling collection of stories about brothers, loners, lovers, and lives full of good intentions, misunderstandings, and obscured motives. A hotshot lawyer, burdened by years of guilt and resentment, comes to the rescue of his irresponsible, irresistible younger brother. An unsettling story resonates between the dysfu…"
3283,Mr. Peanut,Adam Ross,Vintage,2010,Fiction; General; Literary; Mystery & Detective; Mystery Fiction; Police Procedural; Married People; Family & Relationships; Mystery; marriage; Rennette; Marital conflict; Spouses; Spouses - Crimes Against,fiction_general,6,epub; mobi,"From Publishers Weekly Ross's inspired debut explores the proximity of violence and love and begins with the death of Alice Pepin, whose lifelong struggle with depression, insecurity, and obesity comes to an abrupt end at her kitchen table when she is found dead with a peanut lodged in her throat. She has suffered suicide by anaphylactic shock—or so claims her husband, David, a quiet computer game…"
72,Mr. Peanut,Adam Ross,Vintage,2010,Fiction; General; Literary; Mystery & Detective; Mystery Fiction; Police Procedural; Married People; Family & Relationships; Mystery; marriage; Rennette; Marital conflict; Spouses; Spouses - Crimes Against,fiction_general,6,epub; lit,"From Publishers Weekly Ross's inspired debut explores the proximity of violence and love and begins with the death of Alice Pepin, whose lifelong struggle with depression, insecurity, and obesity comes to an abrupt end at her kitchen table when she is found dead with a peanut lodged in her throat. She has suffered suicide by anaphylactic shock—or so claims her husband, David, a quiet computer game…"
3284,"Brava, Valentine: A Novel",Adriana Trigiani,HarperCollins,2010,Fiction; General; Fiction - General; Sagas; Family Secrets; Rennette; Family Life; American Contemporary Fiction - Individual Authors +; Italian American women; Italian American families,fiction_general,,epub; mobi,"EDITORIAL REVIEW: Adriana Trigiani's bestselling novels are beloved by millions of readers around the world. From the Big Stone Gap series to *Lucia, Lucia*, each is a sumptuous treat as Trigiani tells hilarious and romantic stories that we want to return to again and again. *Very Valentine*, an instant *New York Times* bestseller, introduced the contemporary family saga of the Roncalli and Angeli…"
73,"Brava, Valentine: A Novel",Adriana Trigiani,HarperCollins,2010,Fiction; General; Fiction - General; Sagas; Family Secrets; Rennette; Family Life; American Contemporary Fiction - Individual Authors +; Italian American women; Italian American families,fiction_general,,epub; lit,"EDITORIAL REVIEW: Adriana Trigiani's bestselling novels are beloved by millions of readers around the world. From the Big Stone Gap series to *Lucia, Lucia*, each is a sumptuous treat as Trigiani tells hilarious and romantic stories that we want to return to again and again. *Very Valentine*, an instant *New York Times* bestseller, introduced the contemporary family saga of the Roncalli and Angeli…"
3279,The Shoemaker's Wife,Adriana Trigiani,Harper,2011,Romance; Contemporary; Historical; Adult,history,6,epub; mobi,"The majestic and haunting beauty of the Italian Alps is the setting of the first meeting of Enza, a practical beauty, and Ciro, a strapping mountain boy, who meet as teenagers, despite growing up in villages just a few miles apart. At the turn of the last century, when Ciro catches the local priest in a scandal, he is banished from his village and sent to hide in America as an apprentice to a shoe…"
74,The Shoemaker's Wife,Adriana Trigiani,Harper,2011,Romance; Contemporary; Historical; Adult,history,6,epub; lit; mobi,"The majestic and haunting beauty of the Italian Alps is the setting of the first meeting of Enza, a practical beauty, and Ciro, a strapping mountain boy, who meet as teenagers, despite growing up in villages just a few miles apart. At the turn of the last century, when Ciro catches the local priest in a scandal, he is banished from his village and sent to hide in America as an apprentice to a shoe…"
3278,An Invisible Sign of My Own: A Novel,Aimee Bender,Anchor,2000,Fiction; Literary; Rennette,fiction_general,6,epub; mobi,"Amazon.com Review Aimee Bender's funny, delicately shaded first novel is a constant delight, even at its most warped. An Invisible Sign of My Own tells the story of Mona Gray, a math wiz and a high school track star, whose ordinary childhood comes to pieces when her father is stricken with a mysterious illness. There doesn't seem to be a name for it, but he looks sort of gray and seems frail and u…"
75,An Invisible Sign of My Own: A Novel,Aimee Bender,Anchor,2000,Fiction; Literary; Rennette,fiction_general,6,epub; lit,"Amazon.com Review Aimee Bender's funny, delicately shaded first novel is a constant delight, even at its most warped. An Invisible Sign of My Own tells the story of Mona Gray, a math wiz and a high school track star, whose ordinary childhood comes to pieces when her father is stricken with a mysterious illness. There doesn't seem to be a name for it, but he looks sort of gray and seems frail and u…"
3277,The Girl in the Flammable Skirt: Stories,Aimee Bender,Knopf Doubleday Publishing Group,2011,Fiction; Short Stories; Short Stories (Single Author); Rennette,fiction_general,,epub; mobi,"A grief-stricken librarian decides to have sex with every man who enters her library. A half-mad, unbearably beautiful heiress follows a strange man home, seeking total sexual abandon: He only wants to watch game shows. A woman falls in love with a hunchback; when his deformity turns out to be a prosthesis, she leaves him. A wife whose husband has just returned from the war struggles with the hear…"
76,The Girl in the Flammable Skirt: Stories,Aimee Bender,Knopf Doubleday Publishing Group,2011,Fiction; Short Stories; Short Stories (Single Author); Rennette,fiction_general,,epub; lit,"A grief-stricken librarian decides to have sex with every man who enters her library. A half-mad, unbearably beautiful heiress follows a strange man home, seeking total sexual abandon: He only wants to watch game shows. A woman falls in love with a hunchback; when his deformity turns out to be a prosthesis, she leaves him. A wife whose husband has just returned from the war struggles with the hear…"
3276,The Particular Sadness of Lemon Cake,Aimee Bender,"Random House, Inc.",2010,Fiction; General; Literary; Psychological; Psychological Fiction; Family Secrets; Bildungsromans; Rennette; Family Life; Coming of Age; Taste,philosophy; fiction_general,6,epub; mobi,"From Publishers Weekly Taking her very personal brand of pessimistic magical realism to new heights (or depths), Bender's second novel (following An Invisible Sign of My Own ) careens splendidly through an obstacle course of pathological, fantastical neuroses. Bender's narrator is young, needy Rose Edelstein, who can literally taste the emotions of whoever prepares her food, giving her unwanted in…"
77,The Particular Sadness of Lemon Cake,Aimee Bender,"Random House, Inc.",2010,Fiction; General; Literary; Psychological; Psychological Fiction; Family Secrets; Bildungsromans; Rennette; Family Life; Coming of Age; Taste,philosophy; fiction_general,6,epub; lit,"From Publishers Weekly Taking her very personal brand of pessimistic magical realism to new heights (or depths), Bender's second novel (following An Invisible Sign of My Own ) careens splendidly through an obstacle course of pathological, fantastical neuroses. Bender's narrator is young, needy Rose Edelstein, who can literally taste the emotions of whoever prepares her food, giving her unwanted in…"
3275,Willful Creatures,Aimee Bender,Anchor,0101,Rennette,,,epub; mobi,
78,Willful Creatures,Aimee Bender,Anchor,0101,Rennette,,,epub; lit,
3274,A Triumph of Souls,Alan Dean Foster,www.iPublish.com,2001,Science Fiction/Fantasy,fiction_sf; fiction_fantasy; fiction_general; science_general,,epub; mobi,
79,A Triumph of Souls,Alan Dean Foster,www.iPublish.com,2001,Science Fiction/Fantasy,fiction_sf; fiction_fantasy; fiction_general; science_general,,epub; lit,
3272,Bloodhype,Alan Dean Foster,Del Rey,1973,Flinx (Fictitious Character); General; Science Fiction; Pip (Fictitious Character : Foster); Adventure; Pip (Fictitious Character); Humanx Commonwealth (Imaginary Organization); Fiction,fiction_sf; fiction_general; business_management; science_general,8,,"It caused instant addiction, followed by an excruciating slow death, and there was no known antidote. It was a killer. Supposedly the drug had been totally eradicated from the humanx galaxy years before. At least that's what everyone thought. But somehow, mysteriously, that dreadful substance was back in circulation on Repler and threatening to wreak havoc throughout the known galaxy. Someone some…"
80,Bloodhype,Alan Dean Foster,Del Rey,1973,Flinx (Fictitious Character); General; Science Fiction; Pip (Fictitious Character : Foster); Adventure; Pip (Fictitious Character); Humanx Commonwealth (Imaginary Organization); Fiction,fiction_sf; fiction_general; business_management; science_general,8,lit,"It caused instant addiction, followed by an excruciating slow death, and there was no known antidote. It was a killer. Supposedly the drug had been totally eradicated from the humanx galaxy years before. At least that's what everyone thought. But somehow, mysteriously, that dreadful substance was back in circulation on Repler and threatening to wreak havoc throughout the known galaxy. Someone some…"
3273,Cachalot,Alan Dean Foster,Del Rey,1981,Adventure; Science Fiction; Fiction; General,fiction_sf; fiction_general; science_general,8,epub; mobi,"From Library Journal Foster's Cachalot is a ""well-written story of a women biologist and her spoiled daughter who find love, adventure, and self-realization"" (LJ 4/15/80). Severn House's version is the only hardcover edition available. Copyright 1994 Reed Business Information, Inc."
81,Cachalot,Alan Dean Foster,Del Rey,1981,Adventure; Science Fiction; Fiction; General,fiction_sf; fiction_general; science_general,8,epub; lit,"From Library Journal Foster's Cachalot is a ""well-written story of a women biologist and her spoiled daughter who find love, adventure, and self-realization"" (LJ 4/15/80). Severn House's version is the only hardcover edition available. Copyright 1994 Reed Business Information, Inc."
3271,Call to Arms,Alan Dean Foster,,2011,,,,epub; mobi,
82,Call to Arms,Alan Dean Foster,,2011,,,,epub; lit,
3270,"Carnivores of Darkness and Light: Journeys of the Catechist, Book 1",Alan Dean Foster,www.iPublish.com,2001,Science Fiction/Fantasy,fiction_sf; fiction_fantasy; fiction_general; science_general,,epub; mobi,
83,"Carnivores of Darkness and Light: Journeys of the Catechist, Book 1",Alan Dean Foster,www.iPublish.com,2001,Science Fiction/Fantasy,fiction_sf; fiction_fantasy; fiction_general; science_general,,epub; lit,
3269,Cyber Way,Alan Dean Foster,Orbit,1992,Science Fiction; Fiction; High Tech,fiction_sf; fiction_general; science_general,,epub; mobi,
84,Cyber Way,Alan Dean Foster,Orbit,1992,Science Fiction; Fiction; High Tech,fiction_sf; fiction_general; science_general,,epub; lit,
3268,Day of the Dissonance,Alan Dean Foster,Orbit,1984,Science Fiction; General; Fiction,fiction_sf; fiction_general; science_general,8,epub; mobi,"Clothahump, the wizard, is dying. All that can save him are rare medicinal powers to be found across the Glittergeist Ocean, past distant Snarken, Jon-Tom, the Spellsinger, sets out on the most perilous pilgrimage of his still-young career, armed with only his music-making duar and a reluctant Mudge, the otter, as his guide. Along the way he conjures up Roseroar, Amazonian tiger, rescues Jalwar, t…"
85,Day of the Dissonance,Alan Dean Foster,Orbit,1984,Science Fiction; General; Fiction,fiction_sf; fiction_general; science_general,8,epub; lit,"Clothahump, the wizard, is dying. All that can save him are rare medicinal powers to be found across the Glittergeist Ocean, past distant Snarken, Jon-Tom, the Spellsinger, sets out on the most perilous pilgrimage of his still-young career, armed with only his music-making duar and a reluctant Mudge, the otter, as his guide. Along the way he conjures up Roseroar, Amazonian tiger, rescues Jalwar, t…"
3267,Dirge,Alan Dean Foster,,2011,,,,epub; mobi,
86,Dirge,Alan Dean Foster,,2011,,,,epub; lit,
3266,Diuturnity's Dawn,Alan Dean Foster,,2011,,,,epub; mobi,
90,Diuturnity's Dawn,Alan Dean Foster,,2011,,,,epub; lit,
3265,Drowning World,Alan Dean Foster,The Ballantine Publishing Group,2003,Science Fiction/Fantasy,fiction_sf; fiction_fantasy; fiction_general; science_general,,epub; mobi,
91,Drowning World,Alan Dean Foster,The Ballantine Publishing Group,2003,Science Fiction/Fantasy,fiction_sf; fiction_fantasy; fiction_general; science_general,,epub; lit,
3263,End Of The Matter,Alan Dean Foster,,2011,,,,,
92,End Of The Matter,Alan Dean Foster,,2011,,,,lit,
3262,Flinx in Flux,Alan Dean Foster,Del Rey,1988,Flinx (Fictitious Character); General; Science Fiction; Humanx Commonwealth (Imaginary Organization); Adventure; Fiction,fiction_sf; fiction_general; business_management; science_general,6,,"When Flinx, no stranger to galactic intrigue, found an unconscious woman on a riverbank deep in the jungles of Alaspin, he took it in stride. When he learned that the woman, Clarity Held, was a brilliant scientist abducted from a remote outpost on inhospitable Longtunnel by a group of fanatic assassins, he tried to help the beautiful Clarity back to her project. Unfortunately, the assassins were s…"
93,Flinx in Flux,Alan Dean Foster,Del Rey,1988,Flinx (Fictitious Character); General; Science Fiction; Humanx Commonwealth (Imaginary Organization); Adventure; Fiction,fiction_sf; fiction_general; business_management; science_general,6,lit,"When Flinx, no stranger to galactic intrigue, found an unconscious woman on a riverbank deep in the jungles of Alaspin, he took it in stride. When he learned that the woman, Clarity Held, was a brilliant scientist abducted from a remote outpost on inhospitable Longtunnel by a group of fanatic assassins, he tried to help the beautiful Clarity back to her project. Unfortunately, the assassins were s…"
3261,Flinx's Folly,Alan Dean Foster,Del Rey,2003,High Tech; Flinx (Fictitious Character); Pip (Fictitious Character: Foster); Space Opera; General; Science Fiction; Pip (Fictitious Character : Foster); Adventure; Humanx Commonwealth (Imaginary Organization); Fiction,fiction_sf; fiction_general; business_management; science_general,6,,"New York Times bestselling author Alan Dean Foster delivers the eagerly awaited new Pip and Flinx novel featuring a certain twenty-four-year-old with red hair, growing powers, and a loyal sidekick who just happens to be a flying mini-dragon. Sure to delight longtime fans and win new ones, Flinx’s Folly follows Flinx on a thrilling quest to unravel the mysteries of his mind and body. It is a quest …"
94,Flinx's Folly,Alan Dean Foster,Del Rey,2003,High Tech; Flinx (Fictitious Character); Pip (Fictitious Character: Foster); Space Opera; General; Science Fiction; Pip (Fictitious Character : Foster); Adventure; Humanx Commonwealth (Imaginary Organization); Fiction,fiction_sf; fiction_general; business_management; science_general,6,lit,"New York Times bestselling author Alan Dean Foster delivers the eagerly awaited new Pip and Flinx novel featuring a certain twenty-four-year-old with red hair, growing powers, and a loyal sidekick who just happens to be a flying mini-dragon. Sure to delight longtime fans and win new ones, Flinx’s Folly follows Flinx on a thrilling quest to unravel the mysteries of his mind and body. It is a quest …"
3260,For Love of Mother Not,Alan Dean Foster,,2011,,,,,
95,For Love of Mother Not,Alan Dean Foster,,2011,,,,lit,
101,Ghosts of Yesterday,Alan Dean Foster,Ballantine Books,2007,Science Fiction,fiction_sf; fiction_general; science_general,,epub; lit,"The first human-alien contact. The last word in galactic warfare. The story you must read–before Transformers rockets to the big screen! A mammoth robotic being, clearly of alien origin, has been found beneath the Arctic ice. Its advanced engineering dwarfs known human technology, and unlocking its secrets will catapult American science eons into the future. In search of the mysterious artifact’s …"
3264,Ghosts of Yesterday,Alan Dean Foster,Ballantine Books,2007,Science Fiction,fiction_sf; fiction_general; science_general,,epub; mobi,"The first human-alien contact. The last word in galactic warfare. The story you must read–before Transformers rockets to the big screen! A mammoth robotic being, clearly of alien origin, has been found beneath the Arctic ice. Its advanced engineering dwarfs known human technology, and unlocking its secrets will catapult American science eons into the future. In search of the mysterious artifact’s …"
102,Icerigger,Alan Dean Foster,,2011,,,,epub; lit,
3259,Icerigger,Alan Dean Foster,,2011,,,,epub; mobi,
103,Into the Thinking Kingdoms,Alan Dean Foster,www.iPublish.com,2001,Science Fiction/Fantasy,fiction_sf; fiction_fantasy; fiction_general; science_general,,epub; lit,
3258,Into the Thinking Kingdoms,Alan Dean Foster,www.iPublish.com,2001,Science Fiction/Fantasy,fiction_sf; fiction_fantasy; fiction_general; science_general,,epub; mobi,
104,Krull,Alan Dean Foster,Severn House Publishers Ltd,1983,,,8,epub; lit,
3257,Krull,Alan Dean Foster,Severn House Publishers Ltd,1983,,,8,epub; mobi,
105,Mid-Flinx,Alan Dean Foster,,2011,,,,lit,
3255,Mid-Flinx,Alan Dean Foster,,2011,,,,,
112,Midworld,Alan Dean Foster,,2011,,,,epub; lit,
3254,Midworld,Alan Dean Foster,,2011,,,,epub; mobi,
113,Mission to Moulokin,Alan Dean Foster,,2011,Science Fiction,fiction_sf; fiction_general; science_general,,epub; lit,"Ethan Fortune, Skua September, and the other humans stranded on the ice planet of Tran-ky-ky have managed to cross the frozen ocean to reach the port of Brass Monkey. There they find a ship to get them off the miserable planet. They also find the Tran the unknowing vivtims of some very ones-sided trades. Determined to help their native friends, the pair set out to force the Commonwealth to provide…"
3256,Mission to Moulokin,Alan Dean Foster,,2011,Science Fiction,fiction_sf; fiction_general; science_general,,epub; mobi,"Ethan Fortune, Skua September, and the other humans stranded on the ice planet of Tran-ky-ky have managed to cross the frozen ocean to reach the port of Brass Monkey. There they find a ship to get them off the miserable planet. They also find the Tran the unknowing vivtims of some very ones-sided trades. Determined to help their native friends, the pair set out to force the Commonwealth to provide…"
114,Moment of the Magician,Alan Dean Foster,Orbit,1984,Science Fiction; General; Fiction,fiction_sf; fiction_fantasy; fiction_general; science_general,6,epub; lit,
3253,Moment of the Magician,Alan Dean Foster,Orbit,1984,Science Fiction; General; Fiction,fiction_sf; fiction_fantasy; fiction_general; science_general,6,epub; mobi,
115,Nor Crystal Tears,Alan Dean Foster,Ballantine,1982,Horror; General; Science Fiction; Humanx Commonwealth (Imaginary Organization); Fiction; Humanx Commonwealth (Imaginary Organization) - Fiction,fiction_sf; fiction_general; business_management; science_general,,epub; lit,"Before Man and insectlike Thranx had become allies, when the reptilian AAnn were just occasional raiders of Thranx colony worlds, one young Thranx agricultural expert lived a life of quiet desperation. A dreamer in a world of sensible, stable beings, Ryo buried himself in his work -- reclaiming marshland from a tenacious jungle -- until he came across a letter describing a relative's encounter wit…"
3252,Nor Crystal Tears,Alan Dean Foster,Ballantine,1982,Horror; General; Science Fiction; Humanx Commonwealth (Imaginary Organization); Fiction; Humanx Commonwealth (Imaginary Organization) - Fiction,fiction_sf; fiction_general; business_management; science_general,,epub; mobi,"Before Man and insectlike Thranx had become allies, when the reptilian AAnn were just occasional raiders of Thranx colony worlds, one young Thranx agricultural expert lived a life of quiet desperation. A dreamer in a world of sensible, stable beings, Ryo buried himself in his work -- reclaiming marshland from a tenacious jungle -- until he came across a letter describing a relative's encounter wit…"
116,Orphan Star,Alan Dean Foster,,2011,Science Fiction/Fantasy,fiction_sf; fiction_fantasy; fiction_general; science_general,,epub; lit,
3280,Orphan Star,Alan Dean Foster,,2011,Science Fiction/Fantasy,fiction_sf; fiction_fantasy; fiction_general; science_general,,epub; mobi,
122,Phylogenesis,Alan Dean Foster,Del Rey,1999,Space Opera; General; Science Fiction; Human-Alien Encounters; Humanx Commonwealth (Imaginary Organization); Adventure; Life on Other Planets; Fiction,fiction_sf; fiction_general; business_management; science_general,6,epub; lit,"In the years after first contact, humans and the intelligent insect like Thranx agree to a tentative sharing of ideas and cultures despite the ingrained repulsion they have yet to overcome. Thus, a slow, lengthy process of limited contact begins. Yet they never plan for a chance meeting between a misfit artist and a petty thief. Desvendapur is a talented Thranx poet who is bored with his life and …"
3250,Phylogenesis,Alan Dean Foster,Del Rey,1999,Space Opera; General; Science Fiction; Human-Alien Encounters; Humanx Commonwealth (Imaginary Organization); Adventure; Life on Other Planets; Fiction,fiction_sf; fiction_general; business_management; science_general,6,epub; mobi,"In the years after first contact, humans and the intelligent insect like Thranx agree to a tentative sharing of ideas and cultures despite the ingrained repulsion they have yet to overcome. Thus, a slow, lengthy process of limited contact begins. Yet they never plan for a chance meeting between a misfit artist and a petty thief. Desvendapur is a talented Thranx poet who is bored with his life and …"
3248,Reunion,Alan Dean Foster,,2011,,,,,
87,Reunion,Alan Dean Foster,,2011,,,,lit,
3247,Running from the Deity,Alan Dean Foster,,2011,,,,epub; mobi; pdf,
88,Running from the Deity,Alan Dean Foster,,2011,,,,epub; lit; pdf,
3246,Sentenced To Prism,Alan Dean Foster,,2011,,,,epub; mobi,
89,Sentenced To Prism,Alan Dean Foster,,2011,,,,epub; lit,
3251,Sliding Scales,Alan Dean Foster,,2011,,,,epub; mobi,
